restaurant,lat,lng
제주김만복(만복이네김밥집),33.4970489,126.5087309
봄날카페,33.46246,126.30959
올래국수,33.4915,126.4973
명진전복,33.53242,126.84985
몽상드애월(몽상),33.463326,126.309204
돈사돈,33.47887,126.46408
서연의집(영화 건축학개론),33.269413,126.655876
순옥이네 명가,33.505558,126.465065
가시아방,33.4242095,126.931111
춘심이네,33.2647887,126.3707772
리치망고,33.4683713,126.3402434
김지순의 낭푼밥상,33.483483,126.4890064
운정이네,33.258415,126.35306
애월더선셋,33.4560041,126.3089078
濟州膳제주선,33.30761436,126.317513
델문도,33.54379,126.668846
어진이네횟집,33.2408963,126.6106901
섭지코지 해녀밥상,33.4357261,126.9175484
미친부엌,33.517007,126.5231956
우유부단,33.34764,126.32826
우진해장국,33.5114884,126.5200864
고집돌우럭(제주공항점),33.5163432,126.5281752
고집돌우럭(중문),33.25799,126.41676
명랑스낵,33.409283,126.258835
테라로사,33.24944,126.618935
김희선몸국,33.5185392,126.4981208
벵디,33.53775,126.83721
마노르블랑,33.254242,126.29465
국수의전설,33.26347,126.61043
피어22,33.389317,126.22804
구좌상회,33.54681,126.78381
제주바다바다,33.481594,126.472855
르 쉬느아 (Le Chinois),33.30761439,126.31747
하하호호(HAHAHOHO),33.50332,126.95568
만덕이네,33.39333,126.80123
대우정,33.2331332,126.5070238
한림칼국수,33.4155701,126.2615642
카페공작소,33.524647,126.85994
협재해녀의집,33.39883,126.24401
바다다,33.236816,126.437065
고래라면,33.37195,126.85841
수두리보말칼국수,33.2515765,126.4251078
모닥식탁(카페이전으로 비공개처리),33.540524,126.66745
최고집,33.2507966,126.5123065
흑돼지구이집 하영,33.255093,126.41663
붉은제주,33.462128,126.31228
앤트러사이트,33.407646,126.25817
요리하는 목수,33.480564,126.37354
수우동,33.396576,126.242516
맛나식당,33.44859,126.91591
해월정,33.4880673,126.8804954
제주미향,33.255074,126.416466
산방식당(모슬포본점),33.223396,126.2543
오라숲소리,33.4955139,126.5117837
섬소나이,33.5131507,126.9579066
올레7돈 (올레칠돈),33.2438514,126.4596356
성산회관,33.460884,126.93156
서귀포네거리식당,33.24852,126.559364
옥돔식당 ,33.2199418,126.2490877
바보카페,33.541573,126.83128
갓포하루,33.252346,126.42603
낭뜰에쉼팡,33.4735321,126.6571882
고불락,33.46674,126.336655
도두해녀의집,33.5062012,126.4666854
제주해물밥,33.4947,126.43402
국수바다 본점,33.258533,126.40609
이어도식당,33.384068,126.80208
교래손칼국수,33.43613,126.67603
명당양과,33.481274,126.48501
모리노아루요,33.4193673,126.4015222
스카이 온 파이브 다이닝 ,33.3017501,126.3206458
젠하이드어웨이,33.229233,126.30862
성읍칠십리식당,33.389263,126.80127
생돈우리,33.479877,126.461846
앞뱅디식당,33.4853213,126.4999909
곰막,33.5569661,126.720736
덕성원,33.2449505,126.5635161
중문어촌계해녀의집,33.24265,126.41892
만선식당,33.499622,126.53119
하효살롱,33.256496,126.621994
가시식당,33.353035,126.77152
부두식당 (모슬포),33.218906,126.25106
북촌에가면,33.547928,126.69252
삼다도횟집,33.5190034,126.4993699
중문덤장,33.257664,126.40828
사계바다,33.227848,126.30391
천해천,33.483097,126.477234
바다의집,33.469486,126.919266
치치퐁,33.235268,126.313446
카페콜라,33.443314,126.29197
흑돈가,33.48003,126.473595
양가형제,33.307373,126.2541
경미네집(경미휴게소),33.46125,126.93347
잠녀해녀촌,33.546566,126.65964
평대성게국수,33.534233,126.83995
기억나는집,33.245117,126.56229
사형제횟집,33.422413,126.266396
전원일기,33.2523783,126.5576332
쌍둥이횟집본점,33.24659,126.562996
바다풍경횟집,33.5161862,126.5069194
독개물항,33.4018706,126.2516959
바다속고등어쌈밥,33.484203,126.40683
오가네전복설렁탕,33.26826,126.58964
쉬림프박스,33.499622,126.53119
그리운바다성산포,33.46976,126.93005
키친오즈,33.38007,126.25113
상춘재,33.45866,126.70484
산지물식당(건입동본점),33.516262,126.52756
안거리밖거리,33.244278,126.56415
닐모리동동,33.517693,126.487625
명품진전복해물탕,33.4939158,126.5415943
명월국민학교,33.388832,126.2649479
신설오름,33.50546,126.54163
복자씨연탄구이,33.469234,126.91987
제주맥주 양조장,33.3598575,126.2460727
카페마니,33.53737,126.83743
퍼시픽 리솜 엘마리노 뷔페,33.2437366,126.4156983
옛날옛적,33.414307,126.900185
늘봄흑돼지,33.4792895,126.4728779
살롱드라방 SALON de LAVANT,33.499622,126.53119
제주올레냉면 제주노형점,33.481808,126.47048
블랑로쉐,33.515686,126.958084
톰톰카레,33.53737,126.83743
산방산에 옛촌,33.24694,126.30275
서광춘희,33.2833393,126.3316897
문동일셰프녹차고을,33.4861735,126.415129
비포크비스트로,33.2451005,126.5649536
연동마라도횟집,33.4868335,126.4895539
동복리해녀촌,33.553608,126.70991
전설의마녀,33.4840886,126.3775352
스시호시카이,33.487827,126.51764
뽈살집,33.250668,126.5632
카페동백,33.4777041,126.7135515
미영이네식당,33.21765,126.2499
모해 통갈치화덕구이전문점,33.4616976,126.9338917
국수마당,33.5080638,126.5322532
삼무국수,33.490567,126.491045
맥파이 브루어리,33.4647845,126.6329231
메종드쁘띠푸루,33.476097,126.5543
헤이브라더,33.2255616,126.2996722
피제리아3657,33.23645,126.36306
산도롱맨도롱,33.4921891,126.9097197
우도 풍원,33.50834,126.94413
바다를본돼지(판포점),33.3656791,126.1979116
슬슬슬로우,33.5340986,126.7954364
일통이반,33.5170648,126.5221484
제주뚝배기,33.4611374,126.9330294
제갈양,33.386135,126.224754
라붕제주 cafe,33.509594,126.482
목포고을,33.2814107,126.4111118
메밀꽃차롱,33.481255,126.500824
카이로스,33.449875,126.39992
신의한모,33.4854448,126.4080745
오는정김밥,33.249676,126.56757
해녀식당(동복리),33.5535282,126.7069216
풍림다방,33.4718397,126.785755
제주흑돈세상수라간,33.2639747,126.5566914
카페 사우다드,33.2255301,126.2536093
서문수산,33.511383,126.517975
봉끄랑,33.4943265,126.9451046
성산해오름식당,33.461082,126.933586
제주 어가,33.47434,126.48357
민경이네어등포해녀촌,33.553665,126.825775
덤장,33.50411,126.50143
88버거,33.249256,126.56721
새빌,33.36437553,126.3630633
파니야그릴,33.2527883,126.4226081
한성식당,33.4631697,126.9350183
덕승식당(구관),33.2192451,126.2513444
황금어장(제주시),33.4843984,126.4955557
데판야,33.3017501,126.3206458
영주말가든,33.4812517,126.5021897
연미정,33.524647,126.85387
만조이천쌀밥,33.4609007,126.9311907
무뚱 식도락 식당,33.2803755,126.7201346
넉둥베기 고사리육개장,33.509823,126.51268
바람벽에흰당나귀,33.55385,126.70767
제주901,33.453057,126.4865013
랜딩 다이닝(Landing dining),33.30598235,126.3174917
돌하르방식당,33.3879944,126.2397837
올레수산회센터,33.24885,126.56308
제주도푸른밥,33.5396,126.63705
은희네해장국(일도점),33.508522,126.5408
섭지해녀의집,33.4337359,126.9253996
골막식당,33.5024655,126.5384668
아찌국밥,33.304047,126.17972
우도해녀식당,33.514523,126.94903
웅스키친,33.4930736,126.4637705
보스코화덕피자,33.469433,126.4882
유리네,33.4814162,126.4971265
고마워토토 아뜰리에,33.4699704,126.4134769
망고레이,33.5033191,126.9556775
중문신라원,33.254517,126.41738
제주도그릴,33.531616,126.62894
로뎀가든,33.50358,126.94283
이드레국수,33.255264,126.41573
돈사촌 외도점,33.4839514,126.4364357
레드팬더,33.4846103,126.4910386
일출봉쑥빵보리빵,33.462543,126.93316
